time,P,G(i),H_sun,T2m,WS10m,Int
20170218:2102,0,0,0,18.14,8.21,0
20170218:2202,0,0,0,18.01,8.41,0
20170218:2302,0,0,0,17.77,8.28,0
20170219:0002,0,0,0,17.59,8.07,0
20170219:0102,0,0,0,17.37,7.86,0
20170219:0202,0,0,0,17.23,7.59,0
20170219:0302,0,0,0,17.11,7.59,0
20170219:0402,0,0,0,17.03,7.59,0
20170219:0502,118.32,34.39,6.66,17.11,7.59,0
20170219:0602,302.82,69.69,19.04,18.26,8.07,0
20170219:0702,528.12,155.07,31.45,20.39,8.07,0
20170219:0802,1565.64,327.64,43.56,22.05,8.34,0
20170219:0902,2641.56,498.01,54.78,23.57,8.76,0
20170219:1002,3539.28,649.85,63.71,24.8,9.31,0
20170219:1102,4194.18,766.6,67.3,25.56,9.93,0
20170219:1202,4595.04,837.95,63.27,25.49,10.48,0
20170219:1302,4665.84,847.09,54.12,24.88,10.9,0
20170219:1402,4462.56,805.33,42.82,24.22,11.1,0
20170219:1502,3972,712.22,30.68,23.48,11.1,0
20170219:1602,3005.4,538.31,18.26,22.49,10.9,0
20170219:1702,98.4,30.77,5.89,21.3,10.07,0
20170219:1802,0,0,0,20.3,10.07,0
20170219:1902,0,0,0,19.61,9.79,0
20170219:2002,0,0,0,19.1,9.52,0
20170219:2102,0,0,0,18.59,9.24,0
20170219:2202,0,0,0,18.22,8.97,0
20170219:2302,0,0,0,18.05,8.76,0
20170220:0002,0,0,0,17.91,8.48,0
20170220:0102,0,0,0,17.75,8.14,0
20170220:0202,0,0,0,17.68,7.66,0
20170220:0302,0,0,0,17.6,7.1,0
20170220:0402,0,0,0,17.5,6.62,0
20170220:0502,109.2,32.58,6.48,17.52,6.34,0
20170220:0602,301.56,69.69,18.86,18.93,6.48,0
20170220:0702,503.04,150.61,31.27,21.27,6.83,0
20170220:0802,1511.52,321.98,43.36,23.53,7.03,0
20170220:0902,2575.2,493.3,54.54,25.63,7.1,0
20170220:1002,3449.4,646.3,63.4,27.35,7.1,0
20170220:1102,4063.08,761.97,66.94,28.61,7.17,0
20170220:1202,4429.74,832.51,62.95,29.38,7.66,0
20170220:1302,4512.84,846.2,53.86,29.57,8.34,0
20170220:1402,4325.82,804.89,42.59,29.1,9.03,0
20170220:1502,3806.82,701.56,30.47,28.19,9.52,0
20170220:1602,2848.32,522.7,18.06,26.75,9.59,0
20170220:1702,92.34,29.87,5.68,24.82,8.9,0
20170220:1802,0,0,0,23.2,8.97,0
20170220:1902,0,0,0,22.57,7.86,0
20170220:2002,0,0,0,21.61,7.45,0
20170220:2102,0,0,0,20.79,7.03,0
20170220:2202,0,0,0,20.12,6.76,0
20170220:2302,0,0,0,19.61,6.41,0
20170221:0002,0,0,0,19.22,6,0
20170221:0102,0,0,0,18.73,5.72,0
20170221:0202,0,0,0,18.37,5.38,0
20170221:0302,0,0,0,18.01,5.03,0
20170221:0402,0,0,0,17.71,4.83,0
20170221:0502,109.02,32.58,6.3,17.66,4.55,0
20170221:0602,281.1,66.07,18.69,19.26,4.62,0
20170221:0702,475.74,145.61,31.09,21.92,4.55,0
20170221:0802,1463.7,316.65,43.16,24.54,4.9,0
20170221:0902,2514.9,488.5,54.3,26.94,5.24,0
20170221:1002,3367.68,639.86,63.09,28.77,5.66,0
20170221:1102,3992.88,756.5,66.58,29.93,6.41,0
20170221:1202,4364.1,824.11,62.62,30.36,7.66,0
20170221:1302,4486.98,840.85,53.59,29.98,8.9,0
20170221:1402,4302.18,799.62,42.36,29.23,9.45,0
20170221:1502,3774.54,696.12,30.25,28.38,9.59,0
20170221:1602,2834.46,522.2,17.84,27.32,9.24,0
20170221:1702,87.66,28.96,5.46,25.84,8.14,0
20170221:1802,0,0,0,24.27,8.21,0
20170221:1902,0,0,0,23.14,7.38,0
20170221:2002,0,0,0,22.17,7.03,0
20170221:2102,0,0,0,21.4,6.62,0
20170221:2202,0,0,0,20.71,6.07,0
20170221:2302,0,0,0,20.16,5.45,0
20170222:0002,0,0,0,19.6,4.83,0
20170222:0102,0,0,0,18.98,4.41,0
20170222:0202,0,0,0,18.45,4.14,0
20170222:0302,0,0,0,17.92,3.86,0
20170222:0402,0,0,0,17.42,3.79,0
20170222:0502,113.76,33.49,6.12,17.13,3.66,0
20170222:0602,320.46,73.31,18.51,19.1,3.52,0
20170222:0702,488.16,145.65,30.9,21.82,2.83,0
20170222:0802,1434.66,313.03,42.96,24.59,2.9,0
20170222:0902,2452.74,483.39,54.05,27.09,2.9,0
20170222:1002,3286.2,634.4,62.78,28.95,3.31,0
20170222:1102,3887.22,749.31,66.22,30.07,3.93,0
20170222:1202,4258.5,819.62,62.29,30.77,4.83,0
20170222:1302,4390.2,839.9,53.32,31.03,5.86,0
20170222:1402,4189.62,794.33,42.12,30.9,6.76,0
20170222:1502,3707.94,696.14,30.03,30.39,7.38,0
20170222:1602,2754.72,515.2,17.63,29.4,7.59,0
20170222:1702,82.68,28.06,5.24,27.7,7.17,0
20170222:1802,0,0,0,25.84,7.17,0
20170222:1902,0,0,0,24.4,6.21,0
20170222:2002,0,0,0,23.32,5.86,0
20170222:2102,0,0,0,22.44,5.52,0
20170222:2202,0,0,0,21.8,4.97,0
20170222:2302,0,0,0,21.27,4.21,0
20170223:0002,0,0,0,20.73,3.79,0
20170223:0102,0,0,0,20.06,3.38,0
20170223:0202,0,0,0,19.44,3.1,0
20170223:0302,0,0,0,18.69,2.9,0
20170223:0402,0,0,0,18.01,2.83,0
20170223:0502,104.64,31.68,5.94,17.53,2.62,0
20170223:0602,289.74,67.88,18.34,19.6,2,0
20170223:0702,429.18,136.63,30.72,23.42,1.59,0
20170223:0802,1367.22,306.91,42.75,26.65,0.97,0
20170223:0902,2362.44,478.68,53.81,28.94,0.83,0
20170223:1002,3197.28,628.15,62.46,30.29,2.14,0
20170223:1102,3814.5,743.87,65.85,30.8,3.03,0
20170223:1202,4200.24,817.34,61.95,30.75,3.52,0
20170223:1302,4255.8,826.87,53.04,30.53,3.59,0
20170223:1402,4093.68,789.06,41.88,30.01,3.72,0
20170223:1502,3609.06,690.79,29.8,29.09,3.17,0
20170223:1602,2656.86,505.32,17.41,28.69,3.1,0
20170223:1702,82.5,28.06,5.02,27.82,2.48,0
20170223:1802,0,0,0,26.59,1.72,0
20170223:1902,0,0,0,25.61,1.66,0
20170223:2002,0,0,0,24.19,1.1,0
20170223:2102,0,0,0,24.37,0.28,0
20170223:2202,0,0,0,23.44,0.48,0
20170223:2302,0,0,0,20.96,1.31,0
20170224:0002,0,0,0,18.71,1.86,0
20170224:0102,0,0,0,18.14,2.76,0
20170224:0202,0,0,0,17.82,3.38,0
20170224:0302,0,0,0,17.51,3.66,0
20170224:0402,0,0,0,17.14,3.86,0
20170224:0502,109.38,32.58,5.76,17.04,4.07,0
20170224:0602,439.2,94.13,18.17,17.75,4.76,0
20170224:0702,600.12,155.98,30.54,18.78,5.72,0
20170224:0802,1433.34,305.76,42.55,20.65,5.72,0
20170224:0902,2478.54,473.19,53.56,22.65,5.52,0
20170224:1002,3341.82,621.89,62.15,24.25,5.66,0
20170224:1102,3976.44,736.7,65.48,25.04,6.14,0
20170224:1202,4381.92,809.03,61.61,24.5,6.34,0
20170224:1302,4446.42,817.27,52.75,23.21,6,0
20170224:1402,4251.66,778.94,41.63,21.94,5.03,0
20170224:1502,3694.08,674.74,29.57,21.38,4.21,0
20170224:1602,2571.36,470.07,17.18,21.17,3.66,0
20170224:1702,73.5,25.34,4.79,20.7,2.97,0
20170224:1802,0,0,0,20.56,3.03,0
20170224:1902,0,0,0,20.37,3.17,0
20170224:2002,0,0,0,20.09,3.52,0
20170224:2102,0,0,0,19.75,3.17,0
20170224:2202,0,0,0,19.18,3.45,0
20170224:2302,0,0,0,18.93,3.31,0
20170225:0002,0,0,0,18.8,4.07,0
20170225:0102,0,0,0,18.38,4.83,0
20170225:0202,0,0,0,17.97,5.24,0
20170225:0302,0,0,0,17.63,4.9,0
20170225:0402,0,0,0,17.47,4.76,0
20170225:0502,100.38,30.77,5.58,17.48,4.62,0
20170225:0602,337.62,76.03,17.99,18.02,5.1,0
20170225:0702,465.96,136.33,30.36,18.73,4.83,0
20170225:0802,1405.14,300.56,42.35,19.57,4.97,0
20170225:0902,2475.24,468.61,53.31,20.46,5.59,0
20170225:1002,3382.68,618.24,61.83,21.02,6.28,0
20170225:1102,4038.18,731.44,65.11,21.24,6.97,0
20170225:1202,4408.32,796.81,61.27,21.11,7.24,0
20170225:1302,4455.54,803.27,52.46,20.88,7.45,0
20170225:1402,4289.58,768.87,41.37,20.5,7.72,0
20170225:1502,3730.14,664.09,29.34,19.99,8,0
20170225:1602,2761.02,492.24,16.95,19.28,7.79,0
20170225:1702,70.38,24.44,4.55,18.47,7.52,0
20170225:1802,0,0,0,17.78,7.17,0
20170225:1902,0,0,0,17.54,6.76,0
20170225:2002,0,0,0,17.27,6.55,0
20170225:2102,0,0,0,17.09,6.41,0
20170225:2202,0,0,0,17.04,6.55,0
20170225:2302,0,0,0,17.02,6.69,0
20170226:0002,0,0,0,16.96,6.62,0
20170226:0102,0,0,0,16.96,6.55,0
20170226:0202,0,0,0,16.81,6.48,0
20170226:0302,0,0,0,16.7,6.48,0
20170226:0402,0,0,0,16.61,6.34,0
20170226:0502,96.6,29.87,5.4,16.59,6.14,0
20170226:0602,288.54,66.97,17.82,17.74,6.41,0
20170226:0702,394.44,125.02,30.18,19.61,6.21,0
20170226:0802,1344.96,293.77,42.14,21.43,5.93,0
20170226:0902,2408.82,463.36,53.06,23.3,5.72,0
20170226:1002,3279.72,612.82,61.51,24.96,5.72,0
20170226:1102,3899.34,726.05,64.74,26.22,6.28,0
20170226:1202,4260.24,791.58,60.92,26.87,7.31,0
20170226:1302,4377,806.8,52.17,26.54,8.62,0
20170226:1402,4207.68,767.43,41.12,25.5,9.45,0
20170226:1502,3697.26,668.42,29.1,24.32,9.72,0
20170226:1602,3000.84,542.04,16.72,23.16,9.52,0
20170226:1702,65.1,23.53,4.32,21.74,8.76,0
20170226:1802,0,0,0,20.67,8.83,0
20170226:1902,0,0,0,19.89,8,0
20170226:2002,0,0,0,19.43,7.59,0
20170226:2102,0,0,0,18.98,7.17,0
20170226:2202,0,0,0,18.52,6.76,0
20170226:2302,0,0,0,18.13,6.07,0
20170227:0002,0,0,0,17.77,5.45,0
20170227:0102,0,0,0,17.27,5.03,0
20170227:0202,0,0,0,16.88,4.9,0
20170227:0302,0,0,0,16.44,4.69,0
20170227:0402,0,0,0,16.09,4.48,0
20170227:0502,88.26,28.06,5.23,15.89,4.21,0
20170227:0602,283.44,66.07,17.65,17.56,4,0
20170227:0702,354.84,117.88,30,20.42,3.59,0
20170227:0802,1300.56,289.61,41.94,23.48,3.31,0
20170227:0902,2319.3,458.11,52.81,26.26,3.24,0
20170227:1002,3153.84,607.58,61.18,28.27,3.38,0
20170227:1102,3763.62,720.81,64.36,29.32,4.21,0
20170227:1202,4141.92,790.23,60.57,29.67,5.1,0
20170227:1302,4218.36,800.62,51.87,29.55,5.72,0
20170227:1402,4042.92,762.25,40.85,29.16,6,0
20170227:1502,3486.24,652.3,28.86,28.42,5.93,0
20170227:1602,2540.7,474.65,16.48,27.28,5.72,0
20170227:1702,63.6,23.53,4.08,25.67,5.38,0
20170227:1802,0,0,0,24.06,5.17,0
20170227:1902,0,0,0,22.63,5.1,0
20170227:2002,0,0,0,22.07,4.76,0
20170227:2102,0,0,0,21.49,4.34,0
20170227:2202,0,0,0,20.69,3.86,0
20170227:2302,0,0,0,19.94,3.38,0
20170228:0002,0,0,0,19.21,2.9,0
20170228:0102,0,0,0,18.25,2.28,0
20170228:0202,0,0,0,17.41,1.66,0
20170228:0302,0,0,0,18.26,1.1,0
20170228:0402,0,0,0,18.47,0.48,0
20170228:0502,91.26,28.96,5.05,18.14,0.28,0
20170228:0602,335.34,76.03,17.47,18.38,0.69,0
20170228:0702,369.42,118.19,29.82,21.08,2.55,0
20170228:0802,1275.9,285.34,41.73,22.73,2.69,0
20170228:0902,2309.64,453.43,52.56,24.22,2.9,0
20170228:1002,3172.8,602.92,60.86,25.3,3.31,0
20170228:1102,3791.88,715.58,63.98,25.93,3.93,0
20170228:1202,4159.38,781.17,60.22,26.05,4.76,0
20170228:1302,4270.32,795.44,51.57,25.45,5.45,0
20170228:1402,4105.62,756,40.59,24.34,5.93,0
20170228:1502,3467.1,632.18,28.61,23.23,6,0
20170228:1602,720.36,145.32,16.24,22.16,5.72,0
20170228:1702,53.52,20.82,3.83,20.97,5.17,0
20170228:1802,0,0,0,19.93,4.48,0
20170228:1902,0,0,0,19.5,4.76,0
20170228:2002,0,0,0,19.07,4.69,0
20170228:2102,0,0,0,18.78,4.62,0
20170228:2202,0,0,0,18.58,4.48,0
20170228:2302,0,0,0,18.54,4.41,0
20170301:0002,0,0,0,18.26,4.28,0
20170301:0102,0,0,0,18.06,4.21,0
20170301:0202,0,0,0,17.83,4.14,0
20170301:0302,0,0,0,17.65,4.14,0
20170301:0402,0,0,0,17.44,4.14,0
20170301:0502,58.62,21.72,4.88,17.37,4.07,0
20170301:0602,228.72,56.11,17.3,18.44,4.07,0
20170301:0702,296.28,105.41,29.64,20.21,4.55,0
20170301:0802,1209.54,274.98,41.52,22.16,4.83,0
20170301:0902,2293.5,447.29,52.3,23.89,5.03,0
20170301:1002,3195.12,599.18,60.53,25.09,5.45,0
20170301:1102,3871.44,719.16,63.6,25.63,6.07,0
20170301:1202,4347.72,804.09,59.86,25.68,6.76,0
20170301:1302,4443,817.99,51.26,25.19,7.17,0
20170301:1402,4231.62,773.74,40.32,24.53,7.45,0
20170301:1502,3348.9,608.62,28.36,23.75,7.45,0
20170301:1602,2724.42,495.41,16,22.75,7.31,0
20170301:1702,45.78,19.01,3.58,21.48,6.55,0
20170301:1802,0,0,0,20.44,6.21,0
20170301:1902,0,0,0,19.69,6,0
20170301:2002,0,0,0,19.41,5.59,0
20170301:2102,0,0,0,19.2,4.9,0
20170301:2202,0,0,0,18.89,4.34,0
20170301:2302,0,0,0,18.55,3.93,0
20170302:0002,0,0,0,18.23,3.52,0
20170302:0102,0,0,0,17.71,3.1,0
20170302:0202,0,0,0,17.23,2.9,0
20170302:0302,0,0,0,16.73,2.69,0
20170302:0402,0,0,0,16.02,2.28,0
20170302:0502,71.52,24.44,4.71,15.45,1.72,0
20170302:0602,277.8,65.16,17.13,17.51,1.17,0
20170302:0702,294.96,103.25,29.46,20.35,0.83,0
20170302:0802,1162.86,270.23,41.32,22.42,0.9,0
20170302:0902,2223.72,442.37,52.04,24.08,1.93,0
20170302:1002,3120.9,594.85,60.2,25.18,2.97,0
20170302:1102,3798.84,715.86,63.22,25.55,3.79,0
20170302:1202,4284.84,801.93,59.5,25.25,4.55,0
20170302:1302,4361.4,811.74,50.95,24.53,4.83,0
20170302:1402,4157.34,767.47,40.04,23.49,4.83,0
20170302:1502,3653.4,669.55,28.1,22.46,4.48,0
20170302:1602,2737.08,501.44,15.75,21.37,3.86,0
20170302:1702,38.64,17.2,3.33,20.21,3.03,0
20170302:1802,0,0,0,19.3,2,0
20170302:1902,0,0,0,19.05,1.79,0
20170302:2002,0,0,0,18.63,1.79,0
20170302:2102,0,0,0,18.15,2.21,0
20170302:2202,0,0,0,18.14,2.48,0
20170302:2302,0,0,0,18.17,2.62,0
20170303:0002,0,0,0,18.24,2.41,0
20170303:0102,0,0,0,17.97,2.48,0
20170303:0202,0,0,0,17.8,2.76,0
20170303:0302,0,0,0,17.59,3.1,0
20170303:0402,0,0,0,17.34,2.48,0
20170303:0502,50.82,19.91,4.53,17,1.31,0
20170303:0602,238.62,57.92,16.96,17.78,1.24,0
20170303:0702,233.22,91.55,29.27,19.12,1.93,0
20170303:0802,1151.1,265.2,41.11,20.38,2.62,0
20170303:0902,2315.22,445.19,51.79,21.49,3.31,0
20170303:1002,2999.88,560.06,59.87,22.49,4.07,0
20170303:1102,3082.86,571.53,62.83,22.61,4.69,0
20170303:1202,2852.1,526.59,59.13,22.3,4.9,0
20170303:1302,2280.84,420.91,50.63,21.39,4.48,0
20170303:1402,1858.8,344.93,39.76,21.14,4.07,0
20170303:1502,1125,215.2,27.85,20.19,3.59,0
20170303:1602,510.96,107.7,15.5,19.47,3.31,0
20170303:1702,24.84,13.58,3.08,18.69,3.38,0
20170303:1802,0,0,0,18.09,3.66,0
20170303:1902,0,0,0,17.23,4.76,0
20170303:2002,0,0,0,17.06,4.69,0
20170303:2102,0,0,0,16.74,4.34,0
20170303:2202,0,0,0,16.52,3.86,0
20170303:2302,0,0,0,16.15,3.59,0
20170304:0002,0,0,0,15.78,3.38,0
20170304:0102,0,0,0,15.53,3.31,0
20170304:0202,0,0,0,15.21,3.17,0
20170304:0302,0,0,0,14.94,3.03,0
20170304:0402,0,0,0,14.7,2.83,0
20170304:0502,55.68,20.82,4.36,14.24,2.41,0
20170304:0602,265.38,62.45,16.79,16.11,2.21,0
20170304:0702,250.98,91.57,29.09,17.59,1.59,0
20170304:0802,1139.88,261.86,40.9,18.54,1.59,0
20170304:0902,2253.78,436.2,51.53,19.53,1.86,0
20170304:1002,3048.54,571.11,59.54,20.4,2.28,0
20170304:1102,3784.26,702.45,62.45,21.17,3.03,0
20170304:1202,4251.96,783.26,58.77,21.68,4.28,0
20170304:1302,4336.44,791.89,50.31,21.37,5.24,0
20170304:1402,4111.32,746.73,39.48,20.66,5.1,0
20170304:1502,3578.94,647.61,27.58,20.07,4.62,0
20170304:1602,199.08,50.68,15.25,19.48,4.48,0
20170304:1702,24.84,13.58,2.82,18.52,4.21,0
20170304:1802,0,0,0,17.62,3.31,0
20170304:1902,0,0,0,17.33,2.83,0
20170304:2002,0,0,0,16.93,2.83,0
20170304:2102,0,0,0,16.49,2.76,0
20170304:2202,0,0,0,16.17,2.9,0
20170304:2302,0,0,0,15.88,3.24,0
20170305:0002,0,0,0,15.83,3.38,0
20170305:0102,0,0,0,15.91,3.52,0
20170305:0202,0,0,0,16.02,3.59,0
20170305:0302,0,0,0,16.1,3.72,0
20170305:0402,0,0,0,16.24,3.72,0
20170305:0502,67.08,23.53,4.19,16.31,3.79,0
20170305:0602,574.14,117.66,16.62,17.19,4,0
20170305:0702,1078.08,212.4,28.91,18.75,4.28,0
20170305:0802,1105.68,256.59,40.69,20.38,4.48,0
20170305:0902,2213.22,429.51,51.27,21.89,4.41,0
20170305:1002,3005.88,560.91,59.21,22.8,4.62,0
20170305:1102,2639.88,491.02,62.06,23.17,4.76,0
20170305:1202,3243.54,601.47,58.4,23.27,4.76,0
20170305:1302,2299.86,428.46,49.99,23.3,4.28,0
20170305:1402,3036.12,560.8,39.19,22.9,3.86,0
20170305:1502,3329.22,613.17,27.32,22.22,3.45,0
20170305:1602,182.94,47.97,14.99,21.4,2.97,0
20170305:1702,18,11.77,2.57,20.32,2.48,0
20170305:1802,0,0,0,19.33,2,0
20170305:1902,0,0,0,18.88,2,0
20170305:2002,0,0,0,18.43,2.07,0
20170305:2102,0,0,0,17.92,2.07,0
20170305:2202,0,0,0,17.4,1.86,0
20170305:2302,0,0,0,16.75,1.45,0
20170306:0002,0,0,0,17.45,1.03,0
20170306:0102,0,0,0,17.83,0.83,0
20170306:0202,0,0,0,16.42,1.38,0
20170306:0302,0,0,0,15.03,1.86,0
20170306:0402,0,0,0,15.76,1.79,0
20170306:0502,51.06,19.91,4.02,16.24,1.59,0
20170306:0602,234.72,57.02,16.45,17.2,2.21,0
20170306:0702,206.88,79.82,28.73,17.8,2.07,0
20170306:0802,1104.78,254.93,40.48,19.4,3.1,0
20170306:0902,2146.26,420.9,51,21.16,3.66,0
20170306:1002,3058.02,572.84,58.87,22.45,3.93,0
20170306:1102,3722.52,691.13,61.67,23.13,4.21,0
20170306:1202,4145.22,768.84,58.02,23.68,4.62,0
20170306:1302,4251.54,783.84,49.66,23.7,5.45,0
20170306:1402,4048.68,739.04,38.9,23.07,6.21,0
20170306:1502,3531.3,639.87,27.05,22.27,6.48,0
20170306:1602,201.78,51.59,14.73,21.5,6.14,0
20170306:1702,11.88,9.96,2.3,20.43,6,0
20170306:1802,0,0,0,19.48,6.28,0
20170306:1902,0,0,0,18.97,6.28,0
20170306:2002,0,0,0,18.67,5.52,0
20170306:2102,0,0,0,18.32,4.83,0
20170306:2202,0,0,0,17.94,4.9,0
20170306:2302,0,0,0,17.73,4.83,0
20170307:0002,0,0,0,17.47,4.28,0
20170307:0102,0,0,0,17.13,3.93,0
20170307:0202,0,0,0,16.89,4.07,0
20170307:0302,0,0,0,16.75,4.14,0
20170307:0402,0,0,0,16.66,4.07,0
20170307:0502,47.1,19.01,3.85,16.61,4,0
20170307:0602,234.36,57.02,16.28,17.76,3.86,0
20170307:0702,195.66,75.86,28.55,20.5,4.69,0
20170307:0802,1020,245.17,40.27,22.52,4.97,0
20170307:0902,2096.7,416.33,50.74,24.36,4.9,0
20170307:1002,2994,565.87,58.53,25.61,5.31,0
20170307:1102,3679.38,683.33,61.28,25.74,6.41,0
20170307:1202,4144.32,762.74,57.65,25.18,7.17,0
20170307:1302,4225.68,774.52,49.33,24.67,7.38,0
20170307:1402,4016.4,732.87,38.61,24.23,7.45,0
20170307:1502,3480.72,632.38,26.78,23.55,7.38,0
20170307:1602,177.48,47.06,14.47,22.65,7.17,0
20170307:1702,0,0,0,21.53,6.34,0
20170307:1802,0,0,0,20.69,5.93,0
20170307:1902,0,0,0,20.15,5.86,0
20170307:2002,0,0,0,19.77,5.38,0
20170307:2102,0,0,0,19.45,5.03,0
20170307:2202,0,0,0,19.17,4.9,0
20170307:2302,0,0,0,19.03,4.9,0
20170308:0002,0,0,0,18.88,4.9,0
20170308:0102,0,0,0,18.78,4.9,0
20170308:0202,0,0,0,18.67,4.83,0
20170308:0302,0,0,0,18.65,4.76,0
20170308:0402,0,0,0,18.56,4.83,0
20170308:0502,50.34,19.91,3.68,18.72,5.17,0
20170308:0602,553.38,114.94,16.11,19.41,5.52,0
20170308:0702,0,0,0,20.69,6.28,0
20170308:0802,1647.18,311.97,40.05,21.82,6.69,0
20170308:0902,2134.8,415.06,50.47,22.42,7.1,0
20170308:1002,2933.22,543.09,58.19,22.91,6.9,0
20170308:1102,3681.72,677.24,60.89,23.74,6.41,0
20170308:1202,4136.64,759.63,57.27,24.49,6.9,0
20170308:1302,3189.96,585.17,49,24.23,7.66,0
20170308:1402,3858,700.51,38.31,23.64,8,0
20170308:1502,3279.48,594.05,26.5,23.33,8.14,0
20170308:1602,247.8,60.64,14.2,22.75,8,0
20170308:1702,0,0,0,21.84,7.1,0
20170308:1802,0,0,0,21.17,7.79,0
20170308:1902,0,0,0,20.94,7.86,0
20170308:2002,0,0,0,20.83,7.86,0
20170308:2102,0,0,0,20.76,7.79,0
20170308:2202,0,0,0,20.7,7.93,0
20170308:2302,0,0,0,20.6,8,0
20170309:0002,0,0,0,20.42,8,0
20170309:0102,0,0,0,20.23,8.14,0
20170309:0202,0,0,0,20.1,8.28,0
20170309:0302,0,0,0,19.88,8.34,0
20170309:0402,0,0,0,19.59,8.14,0
20170309:0502,46.38,19.01,3.52,19.37,8,0
20170309:0602,270.96,64.26,15.94,19.87,7.93,0
20170309:0702,217.32,74.19,28.18,21.82,8,0
20170309:0802,988.5,238.61,39.84,23.21,7.93,0
20170309:0902,2044.08,406.03,50.21,24.65,7.59,0
20170309:1002,2949.48,555.5,57.85,26.1,7.38,0
20170309:1102,3611.4,673.75,60.5,27.39,7.31,0
20170309:1202,3997.8,747.67,56.89,28.44,7.17,0
20170309:1302,4046.4,758.17,48.66,29.07,7.24,0
20170309:1402,3848.82,719.49,38.01,29.2,7.45,0
20170309:1502,3298.5,614.4,26.22,28.75,7.66,0
20170309:1602,177.42,47.97,13.93,27.59,7.31,0
20170309:1702,0,0,0,25.7,7.24,0
20170309:1802,0,0,0,23.85,6.9,0
20170309:1902,0,0,0,22.88,6.97,0
20170309:2002,0,0,0,21.53,6.55,0
20170309:2102,0,0,0,20.5,6.21,0
20170309:2202,0,0,0,19.69,5.72,0
20170309:2302,0,0,0,18.96,5.24,0
20170310:0002,0,0,0,18.33,4.62,0
20170310:0102,0,0,0,17.62,4,0
20170310:0202,0,0,0,17.02,3.45,0
20170310:0302,0,0,0,16.24,3.24,0
20170310:0402,0,0,0,15.4,3.17,0
20170310:0502,39.96,17.2,3.35,14.86,3.03,0
20170310:0602,245.58,58.83,15.77,16.34,2.76,0
20170310:0702,193.62,67.14,28,20.27,2.62,0
20170310:0802,931.86,231.95,39.63,23.53,2,0
20170310:0902,1947.24,400.89,49.94,26.07,1.24,0
20170310:1002,2782.86,549.68,57.51,28.13,1.24,0
20170310:1102,3413.22,666.06,60.1,29.46,2.14,0
20170310:1202,3800.1,738.71,56.51,30.15,2.83,0
20170310:1302,3874.26,752.13,48.32,30.55,3.1,0
20170310:1402,3669.18,708.69,37.71,30.76,3.38,0
20170310:1502,3153.3,604.01,25.94,30.51,3.79,0
20170310:1602,202.32,53.4,13.66,29.45,3.79,0
20170310:1702,0,0,0,27.24,3.24,0
20170310:1802,0,0,0,25.18,3.1,0
20170310:1902,0,0,0,23.49,3.03,0
20170310:2002,0,0,0,22.45,2.83,0
20170310:2102,0,0,0,21.06,2.55,0
20170310:2202,0,0,0,19.19,2.07,0
20170310:2302,0,0,0,19.78,1.38,0
20170311:0002,0,0,0,20.17,1.1,0
20170311:0102,0,0,0,19.69,1.03,0
20170311:0202,0,0,0,19.32,0.55,0
20170311:0302,0,0,0,19.21,0.48,0
20170311:0402,0,0,0,19.26,0.97,0
20170311:0502,38.88,17.2,3.19,19.05,0.97,0
20170311:0602,260.52,62.45,15.61,19.35,0.69,0
20170311:0702,153.72,57.39,27.81,22.27,1.72,0
20170311:0802,876,223.79,39.41,23.98,3.66,0
20170311:0902,1960.74,394.96,49.67,24.31,4.83,0
20170311:1002,2880.6,544.48,57.17,24.49,4.97,0
20170311:1102,3562.02,663.66,59.71,24.54,4.83,0
20170311:1202,3944.46,732.7,56.12,24.68,5.03,0
20170311:1302,4029.18,738.78,47.98,23.77,6.34,0
20170311:1402,3835.14,694.31,37.4,22.49,7.31,0
20170311:1502,3286.68,592.51,25.66,21.62,7.31,0
20170311:1602,188.34,48.87,13.39,20.96,6.62,0
20170311:1702,0,0,0,20.24,6.14,0
20170311:1802,0,0,0,19.56,6.55,0
20170311:1902,0,0,0,19.68,6.83,0
20170311:2002,0,0,0,19.59,7.31,0
20170311:2102,0,0,0,19.51,7.24,0
20170311:2202,0,0,0,19.46,7.17,0
20170311:2302,0,0,0,19.19,7.17,0
20170312:0002,0,0,0,18.85,7.24,0
20170312:0102,0,0,0,18.59,7.52,0
20170312:0202,0,0,0,18.37,7.72,0
20170312:0302,0,0,0,18.14,7.93,0
20170312:0402,0,0,0,17.86,8.34,0
20170312:0502,35.58,16.29,3.02,17.71,8.97,0
20170312:0602,248.76,59.73,15.44,18.29,9.03,0
20170312:0702,181.44,58.74,27.63,19.49,9.17,0
20170312:0802,925.38,225.75,39.19,20.84,8.62,0
20170312:0902,1962.9,389.8,49.4,22.31,8.14,0
20170312:1002,2890.44,538.76,56.83,23.52,7.79,0
20170312:1102,3541.92,652.51,59.31,24.6,7.38,0
20170312:1202,3936.54,723.88,55.74,25.36,7.66,0
20170312:1302,4002.72,731.82,47.64,25.28,8.69,0
20170312:1402,3818.46,691.85,37.1,24.36,9.66,0
20170312:1502,3272.52,590.03,25.37,23.23,10.07,0
20170312:1602,187.5,48.87,13.11,22.02,9.79,0
20170312:1702,0,0,0,20.61,8.97,0
20170312:1802,0,0,0,19.72,9.52,0
20170312:1902,0,0,0,18.83,8.97,0
20170312:2002,0,0,0,18.55,8.34,0
20170312:2102,0,0,0,18.27,7.79,0
20170312:2202,0,0,0,18.04,7.66,0
