time,P,G(i),H_sun,T2m,WS10m,Int
20150108:2002,0,0,0,18.97,6.83,0
20150108:2102,0,0,0,18.7,6.76,0
20150108:2202,0,0,0,18.43,6.83,0
20150108:2302,0,0,0,18.2,7.03,0
20150109:0002,0,0,0,18.15,7.1,0
20150109:0102,0,0,0,18.08,7.17,0
20150109:0202,0,0,0,18,7.1,0
20150109:0302,0,0,0,18.01,6.83,0
20150109:0402,15.18,10.86,2.4,17.99,6.28,0
20150109:0502,223.74,55.21,13.98,18.77,5.93,0
20150109:0602,574.86,160.94,26.06,20.2,6.21,0
20150109:0702,1549.44,323.94,38.41,21.92,5.52,0
20150109:0802,2601,496.53,50.83,23.78,5.03,0
20150109:0902,3527.28,662.43,62.97,25.57,4.69,0
20150109:1002,4268.4,803.68,73.73,26.9,5.24,0
20150109:1102,4862.1,913.81,77.96,27.43,6.69,0
20150109:1202,5194.08,971.49,70.69,27.13,7.93,0
20150109:1302,5334.9,985.98,59.26,25.96,9.24,0
20150109:1402,5144.58,938.12,46.97,24.35,9.72,0
20150109:1502,4557.3,826.49,34.55,23.92,8.97,0
20150109:1602,3644.88,658.64,22.26,23.98,8.34,0
20150109:1702,2217.36,404.36,10.32,23.57,7.79,0
20150109:1802,0,0,0,22.67,7.17,0
20150109:1902,0,0,0,21.33,6.9,0
20150109:2002,0,0,0,20.96,6.55,0
20150109:2102,0,0,0,20.67,6,0
20150109:2202,0,0,0,20.3,5.24,0
20150109:2302,0,0,0,19.84,4.62,0
20150110:0002,0,0,0,19.28,4.55,0
20150110:0102,0,0,0,18.85,4.48,0
20150110:0202,0,0,0,18.46,3.86,0
20150110:0302,0,0,0,18.03,3.24,0
20150110:0402,15.18,10.86,2.24,17.67,2.97,0
20150110:0502,228.48,56.11,13.83,18.54,3.1,0
20150110:0602,554.1,157.66,25.91,20.81,3.86,0
20150110:0702,1513.32,320.85,38.26,22.7,3.79,0
20150110:0802,2575.26,493.56,50.68,24.09,4.69,0
20150110:0902,3541.98,658.13,62.82,24.86,6.07,0
20150110:1002,4287.36,790.89,73.56,25.11,7.38,0
20150110:1102,4857.78,894.4,77.83,24.69,8.07,0
20150110:1202,5206.86,956.74,70.66,24.02,8.41,0
20150110:1302,4817.76,881.27,59.27,23.39,8.41,0
20150110:1402,2058.48,379.47,46.99,22.93,8.62,0
20150110:1502,2407.2,436.43,34.56,22.03,8.41,0
20150110:1602,3315.48,592.73,22.27,21.46,7.93,0
20150110:1702,1188.6,223.06,10.32,20.75,7.79,0
20150110:1802,0,0,0,19.75,7.31,0
20150110:1902,0,0,0,19.01,7.03,0
20150110:2002,0,0,0,18.72,7.38,0
20150110:2102,0,0,0,18.57,7.03,0
20150110:2202,0,0,0,18.39,6.55,0
20150110:2302,0,0,0,18.22,5.93,0
20150111:0002,0,0,0,18.03,5.38,0
20150111:0102,0,0,0,17.76,5.17,0
20150111:0202,0,0,0,17.59,5.1,0
20150111:0302,0,0,0,17.52,5.31,0
20150111:0402,0,0,0,17.57,5.52,0
20150111:0502,238.44,57.92,13.67,18.54,5.66,0
20150111:0602,593.1,160.55,25.75,19.94,5.66,0
20150111:0702,1508.82,317.56,38.11,21.55,5.79,0
20150111:0802,2578.44,490.53,50.53,23.05,5.52,0
20150111:0902,3542.28,656.88,62.66,24.43,6.07,0
20150111:1002,4349.1,803.42,73.38,25.2,6.97,0
20150111:1102,4899.06,913.42,77.69,25.95,6.76,0
20150111:1202,5212.98,976.97,70.63,26.52,7.03,0
20150111:1302,5286.84,988.13,59.27,26.29,7.38,0
20150111:1402,5100.9,942.1,47,25.27,7.93,0
20150111:1502,4597.5,837.17,34.58,24,8.14,0
20150111:1602,3687.12,664.28,22.28,22.97,7.86,0
20150111:1702,2264.82,409.66,10.31,21.89,7.66,0
20150111:1802,0,0,0,20.67,6.97,0
20150111:1902,0,0,0,20.19,5.93,0
20150111:2002,0,0,0,19.95,5.31,0
20150111:2102,0,0,0,19.68,5.31,0
20150111:2202,0,0,0,19.4,5.31,0
20150111:2302,0,0,0,19.18,4.97,0
20150112:0002,0,0,0,18.9,4.34,0
20150112:0102,0,0,0,18.59,3.93,0
20150112:0202,0,0,0,18.44,3.79,0
20150112:0302,0,0,0,18.33,3.52,0
20150112:0402,0,0,0,18.21,3.17,0
20150112:0502,237.54,57.92,13.51,18.96,2.97,0
20150112:0602,513.6,150.56,25.6,20.44,3.38,0
20150112:0702,1468.5,313.65,37.96,22.04,3.59,0
20150112:0802,2528.52,487.38,50.38,23.25,3.24,0
20150112:0902,3476.4,655.63,62.5,24.37,3.31,0
20150112:1002,4260.48,800.88,73.2,24.98,4.14,0
20150112:1102,4858.2,910.9,77.55,24.89,5.17,0
20150112:1202,5220.9,975.37,70.58,24.27,5.86,0
20150112:1302,5296.32,986.66,59.27,23.67,5.93,0
20150112:1402,5106.72,946.08,47.01,23.18,5.79,0
